MB2013,AU2013
76902,501811
77000,501811
77100,501811
77200,501811
77300,501811
77400,501811
77500,501811
77600,501811
77700,501811
77800,501811
77901,501811
77902,501811
78001,501811
78002,501811
78100,501811
78200,501811
78302,501811
78303,501811
78304,501811
78305,501811
78401,501806
78402,501806
78403,501806
78501,501806
78502,501806
78503,501806
78504,501806
78601,501811
78602,501811
78700,501811
78800,501811
78900,501811
79002,501806
79003,501806
79006,501806
79007,501806
79009,501806
79011,501806
79012,501806
79013,501806
79014,501806
79015,501806
79016,501806
79017,501806
79101,501811
79102,501806
79201,501811
79202,501811
79203,501811
79301,501806
79302,501806
79303,501806
79304,501806
79305,501806
79402,501806
79403,501806
79404,501806
79405,501806
79406,501806
79407,501806
79500,501806
79601,501806
79603,501806
79605,501806
79606,501806
79701,501806
79703,501806
79704,501806
79802,501815
79803,501806
79805,501806
79806,501806
79807,501806
79808,501806
79809,501806
79810,501806
79811,501806
79812,501806
79813,501806
79814,501806
79815,501806
79816,501806
79901,501815
79903,501806
79904,501806
80000,501815
80100,501815
80200,501815
80301,501816
80302,501816
80400,501816
80500,501815
80600,501816
80700,501815
80800,501816
80900,501816
81000,501816
81100,501816
81200,501815
81300,501815
81401,501816
81402,501816
81403,501816
81404,501816
81405,501816
81406,501816
81407,501816
81408,501816
81501,501816
81502,501816
81503,501816
81504,501816
81505,501816
81506,501816
81507,501816
81508,501816
81509,501816
81510,501816
81511,501816
81512,501816
81513,501816
81514,501816
81600,501815
81900,502101
82001,502101
82002,502101
82100,502101
82200,502101
82300,502101
82400,502101
82500,502101
82601,502101
82602,502101
82701,502101
82703,502101
82704,502101
82801,502101
82803,502101
82804,502101
82900,502101
83001,502101
83002,502101
83100,502101
83200,502101
83300,502102
83400,502102
83500,502102
83600,502101
83701,502102
83702,502102
83801,502102
83802,502102
83803,502102
83901,502102
83903,502102
83904,502102
84000,502102
84100,502102
84200,502102
84300,502102
84400,502102
84500,502102
84600,502102
84700,502102
84800,502102
84900,502102
85000,502102
85100,502102
85200,502102
85300,502102
85400,502102
85501,502101
85502,502101
85503,502101
85600,502101
85700,502101
85800,502101
85900,502201
86000,502201
86102,502201
86103,502201
86104,502201
