Code,proportionToHere
49600,0.000137611
49700,0.000101741
49801,2.97E-05
49802,4.31E-05
49901,2.92E-05
49903,4.45E-06
49904,4.45E-06
49905,7.42E-06
50001,1.93E-05
50002,1.98E-06
50003,3.03E-05
50004,5.45E-06
50100,7.63E-05
50201,9.87E-07
50202,2.48E-06
50303,1.44E-05
50304,7.91E-06
50305,3.38E-05
50306,1.09E-05
50307,5.94E-06
50308,7.91E-06
50309,3.18E-05
50310,3.28E-05
50311,7.42E-06
50400,1.63E-05
50501,4.95E-07
50502,0
50503,1.48E-06
50602,0
50603,2.97E-06
50604,2.48E-06
50605,7.91E-06
50701,0.0005476
50703,0
50704,0
50705,2.87E-05
50706,0
50707,0
50708,0
50802,4.95E-07
50803,9.87E-06
50804,0.000118291
50805,1.98E-06
50806,2.97E-06
50901,0
50902,2.97E-06
51000,1.48E-06
51101,0.00013414
51102,3.00E-05
51201,3.38E-05
51202,3.13E-05
51300,7.00E-05
51401,1.83E-05
51402,2.93E-05
51403,1.34E-05
51405,4.95E-07
51406,4.82E-05
51407,1.53E-05
51408,1.48E-05
51409,1.19E-05
51501,5.82E-05
51502,6.43E-06
51504,4.95E-07
51505,3.47E-06
51506,1.98E-06
51507,4.95E-06
51508,9.87E-07
51601,1.34E-05
51602,0
51700,6.43E-06
51800,7.91E-06
51900,2.97E-06
52001,4.45E-06
52002,4.45E-06
52100,5.94E-06
52200,0
52300,1.34E-05
52400,2.97E-06
52501,1.48E-06
52502,2.97E-06
52600,4.95E-07
52700,1.14E-05
52800,8.40E-06
52902,1.58E-05
52903,8.89E-06
52904,1.29E-05
52905,8.40E-06
52906,1.34E-05
52907,1.24E-05
53001,1.93E-05
53002,1.39E-05
53003,1.24E-05
53004,1.09E-05
53005,1.24E-05
53101,3.68E-05
53102,3.08E-05
53200,9.00E-05
53301,1.04E-05
53303,1.09E-05
53304,3.51E-05
53305,0.000170394
53403,2.32E-05
53404,2.53E-05
53405,3.13E-05
53406,2.72E-05
53407,2.48E-05
53408,8.40E-06
53502,6.93E-06
53503,3.96E-06
53504,3.96E-06
53505,6.93E-06
53506,6.93E-06
53507,3.47E-06
53508,4.45E-06
53509,8.89E-06
53600,0
53700,4.22E-05
53800,5.12E-05
53900,7.75E-05
54000,4.12E-05
54100,5.02E-05
54200,0.000167042
54300,5.27E-05
54400,7.40E-05
54501,9.00E-05
54502,0.000212705
54600,0.000199483
54700,3.38E-05
54801,4.02E-05
54802,0.000277835
54900,9.87E-06
55000,7.91E-06
55100,7.42E-06
55200,1.29E-05
55300,1.39E-05
55400,6.43E-06
55500,9.87E-06
55600,1.63E-05
55700,9.38E-06
55801,1.63E-05
55802,1.09E-05
55900,2.32E-05
56001,7.42E-06
56002,9.38E-06
56100,1.04E-05
56200,2.97E-06
56300,3.58E-05
56400,8.80E-05
56500,2.97E-06
56600,4.95E-06
56700,2.44E-05
56800,1.48E-06
56900,7.86E-05
57000,3.02E-05
57100,8.45E-05
57201,7.50E-05
57202,2.97E-06
57300,0.000135624
57400,1.39E-05
57500,1.58E-05
57600,1.29E-05
57700,2.48E-05
57800,1.34E-05
57900,0.000136121
58000,4.95E-06
58100,1.68E-05
58200,1.48E-05
58300,9.38E-06
58400,1.19E-05
58500,1.34E-05
58600,6.43E-06
58700,1.74E-05
58800,1.83E-05
58901,9.87E-07
58902,0
59000,4.78E-05
59100,0
59200,0
59301,0.000128191
59302,0
59400,2.48E-06
59500,5.45E-06
59600,1.34E-05
59700,3.46E-05
59800,0.000173962
59900,0
60000,3.47E-06
60100,7.42E-06
60200,8.89E-06
60300,1.63E-05
60400,6.93E-06
60500,1.63E-05
60600,2.08E-05
60700,2.53E-05
60800,1.19E-05
60900,1.04E-05
61000,1.74E-05
61100,0
61200,1.83E-05
61300,2.97E-06
61400,0
61501,0
61502,1.83E-05
61600,7.42E-06
61700,5.42E-05
61801,8.89E-06
61802,2.58E-05
61803,5.21E-05
61804,1.44E-05
61805,4.31E-05
61806,1.74E-05
61807,3.02E-05
61808,1.79E-05
61901,6.35E-05
61902,1.88E-05
61904,1.93E-05
61905,1.48E-05
62001,0
62002,4.51E-05
62102,1.39E-05
62105,9.87E-06
62106,1.98E-06
62107,1.39E-05
62108,1.58E-05
62109,2.27E-05
62110,3.66E-05
62202,2.43E-05
62203,1.09E-05
62204,1.68E-05
62205,1.04E-05
62206,4.02E-05
62301,7.42E-06
62303,1.68E-05
62304,0
62401,1.19E-05
62402,4.26E-05
62501,1.09E-05
62502,1.63E-05
62503,1.98E-06
62504,7.91E-06
62505,3.96E-06
62506,1.04E-05
62507,6.93E-06
62600,3.82E-05
62702,4.95E-06
62703,6.69E-05
62704,1.98E-06
62705,1.48E-06
62800,3.12E-05
62900,3.22E-05
63000,4.85E-05
63100,2.87E-05
63200,0.000166809
63300,0
63400,3.46E-05
63500,2.62E-05
63600,1.98E-05
63701,3.92E-05
63703,1.14E-05
63704,4.42E-05
63705,1.83E-05
63801,2.13E-05
63803,4.01E-05
63804,2.97E-05
63805,1.19E-05
63900,4.85E-05
64000,1.63E-05
64100,1.98E-06
64200,2.97E-06
64300,6.05E-05
64401,7.42E-06
64402,1.48E-06
64501,6.93E-06
64503,2.48E-06
64504,4.95E-06
64600,3.91E-05
64700,4.66E-05
64800,1.19E-05
64900,5.45E-06
65000,9.87E-07
65101,0
65102,1.98E-06
65200,2.87E-05
65300,9.38E-06
65400,1.24E-05
65500,7.42E-06
65600,3.12E-05
65700,6.43E-06
65800,7.91E-06
65900,1.48E-06
66000,4.95E-07
66100,7.42E-06
66200,6.93E-06
66300,9.38E-06
66400,1.98E-06
66500,7.42E-06
66600,1.09E-05
66700,2.48E-06
66800,7.42E-06
66900,4.45E-06
67000,0
67100,0
67200,0
67300,7.42E-06
67400,1.04E-05
67500,5.94E-06
67600,5.45E-06
67700,1.48E-06
67800,1.98E-05
67900,1.34E-05
68000,0
68100,3.47E-06
68200,1.34E-05
68300,1.48E-06
68400,1.39E-05
68500,1.34E-05
68600,1.24E-05
68700,1.68E-05
68801,3.66E-05
68802,2.82E-05
68900,2.48E-05
69000,4.35E-05
69100,3.56E-05
69201,3.42E-05
69202,2.48E-06
69300,6.04E-05
69402,9.87E-07
69403,1.14E-05
69404,3.96E-06
69500,3.37E-05
69603,2.08E-05
69604,4.95E-07
69606,2.97E-06
69607,2.43E-05
69608,4.35E-05
69609,2.27E-05
69700,4.56E-05
69800,2.97E-06
69900,6.21E-05
70001,1.39E-05
70002,1.19E-05
70003,1.58E-05
70100,3.12E-05
70201,2.97E-06
70202,0
70203,4.11E-05
70205,9.38E-06
70206,1.58E-05
70207,7.91E-06
70208,1.34E-05
70209,8.40E-06
70300,6.51E-05
70400,2.18E-05
70501,1.09E-05
70502,6.93E-06
70503,3.37E-05
70504,8.40E-06
70505,1.44E-05
70506,1.19E-05
70600,4.95E-07
70700,2.32E-05
70801,2.18E-05
70802,3.91E-05
70903,8.89E-06
70904,3.02E-05
70905,2.48E-06
70906,2.43E-05
70907,1.68E-05
71001,3.96E-06
71002,1.24E-05
71003,2.23E-05
71004,1.29E-05
71005,1.39E-05
71006,6.43E-06
71007,0
71100,3.76E-05
71200,1.93E-05
71301,6.59E-05
71302,1.98E-06
71400,9.87E-06
71500,2.27E-05
71600,3.46E-05
71701,9.87E-07
71702,3.91E-05
71800,4.40E-05
71901,1.98E-06
71902,1.53E-05
72000,4.70E-05
72101,1.98E-06
72102,1.74E-05
72200,2.32E-05
72300,2.58E-05
72401,4.45E-06
72402,0
72403,1.24E-05
72404,0
72501,0
72502,1.98E-06
72601,3.37E-05
72603,4.95E-07
72604,7.42E-06
72605,1.14E-05
72606,1.44E-05
72607,5.94E-06
72702,1.29E-05
72703,1.48E-05
72704,2.67E-05
72705,7.42E-06
72706,1.48E-06
72801,2.97E-06
72802,1.74E-05
72900,1.09E-05
73001,9.38E-06
73002,1.83E-05
73003,1.09E-05
73004,1.48E-05
73005,1.58E-05
73006,4.95E-07
73101,7.91E-06
73102,8.89E-06
73103,3.96E-06
73104,1.48E-06
73105,3.47E-06
73200,1.48E-06
73301,0
73302,9.87E-06
73400,2.58E-05
73501,2.58E-05
73503,2.03E-05
73504,1.39E-05
73505,5.37E-05
73601,3.17E-05
73602,2.97E-05
73701,4.12E-05
73703,1.24E-05
73704,9.87E-06
73705,9.87E-06
73706,1.74E-05
73802,4.95E-06
73803,0
73805,5.45E-06
73806,6.69E-05
73900,2.82E-05
74001,1.04E-05
74002,0
74004,1.29E-05
74005,1.04E-05
74101,7.42E-06
74102,5.79E-05
74203,1.53E-05
74204,1.09E-05
74205,1.48E-05
74206,1.04E-05
74207,8.89E-06
74208,1.04E-05
74209,3.77E-05
74210,1.04E-05
74211,9.38E-06
74304,2.67E-05
74305,9.38E-06
74306,1.19E-05
74307,7.42E-06
74308,8.89E-06
74309,8.40E-06
74310,6.93E-06
74311,2.48E-06
74312,1.14E-05
74400,0
74501,0
74502,0
74601,2.37E-05
74602,4.95E-07
74701,0
74702,9.38E-06
74703,1.29E-05
74704,9.38E-06
74801,1.24E-05
74802,7.91E-06
74803,1.14E-05
74900,4.21E-05
75001,2.08E-05
75002,2.97E-06
75100,2.03E-05
75200,2.92E-05
75300,4.66E-05
75401,1.09E-05
75402,7.42E-06
75403,1.79E-05
75404,9.87E-06
75500,1.14E-05
75601,2.43E-05
75602,7.91E-06
75700,1.48E-06
75800,0
75900,0
76000,9.87E-07
76100,4.95E-07
76200,4.95E-06
76300,5.00E-05
76400,2.23E-05
76500,7.91E-06
76600,0
76701,1.48E-06
76703,0
76704,0
76800,1.48E-06
76901,0
76902,2.97E-06
77000,4.78E-05
77100,1.39E-05
77200,1.68E-05
77300,4.45E-06
77400,2.97E-06
77500,9.38E-06
77600,1.24E-05
77700,1.09E-05
77800,2.97E-05
77901,0
77902,4.90E-05
78001,1.09E-05
78002,1.48E-06
78100,1.44E-05
78200,2.97E-06
78302,2.48E-06
78303,4.95E-07
78304,5.94E-06
78305,7.91E-06
78401,2.37E-05
78402,2.37E-05
78403,1.88E-05
78501,1.74E-05
78502,8.89E-06
