Code,uPeSqKm,sdPeSqKm,EA_Name
616,0,0,1304812_4950002
617,0,0,1304812_4960002
618,0,0,1304812_4970002
619,0,0,1304812_4980002
620,0,0,1304812_4990002
621,0,0,1304812_5000002
622,0,0,1304812_5010002
623,0,0,1304812_5020002
624,0,0,1304812_5030002
625,0,0,1304812_5040002
626,0,0,1304812_5050002
627,0,0,1304812_5060002
628,0,0,1304812_5070002
629,0,0,1304812_5080002
630,0,0,1304812_5090002
631,0,0,1304812_5100002
632,0,0,1304812_5110002
633,0,0,1304812_5120002
634,0,0,1304812_5130002
635,0,0,1304812_5140002
636,0,0,1304812_5150002
637,0,0,1306564_5157844
638,0,0,1311239_4828177
639,0,0,1313471_4835006
640,0,0,1313472_4845002
641,0,0,1313472_4855002
642,0,0,1313472_4865002
643,0,0,1313472_4875002
644,0,0,1313472_4885002
645,0,0,1313472_4895002
646,0,0,1313472_4905002
647,0,0,1313472_4915002
648,0,0,1313472_4925002
649,0,0,1313472_4935002
650,0,0,1313472_4945002
651,0,0,1313472_4955002
652,0,0,1313472_4965002
653,0,0,1313472_4975002
654,0,0,1313472_4985002
655,0,0,1313472_4995002
656,0,0,1313472_5005002
657,0,0,1313472_5015002
658,0,0,1313472_5025002
659,0,0,1313472_5035002
660,0,0,1313472_5045002
661,0,0,1313472_5055002
662,0,0,1313472_5065002
663,0,0,1313472_5075002
664,0,0,1313472_5085002
665,0,0,1313472_5095002
666,0,0,1313472_5105002
667,0,0,1313472_5115002
668,0,0,1313472_5125002
669,0,0,1313472_5135002
670,0,0,1313472_5145002
671,0,0,1313472_5155002
672,0,0,1313976_5161918
673,0,0,1321058_4832303
674,0,0,1322132_4840002
675,0,0,1322132_4850002
676,0,0,1322132_4860002
677,0,0,1322132_4870002
678,0,0,1322132_4880002
679,0,0,1322132_4890002
680,0,0,1322132_4900002
681,0,0,1322132_4910002
682,0,0,1322132_4920002
683,0,0,1322132_4930002
684,0,0,1322132_4940002
685,0,0,1322132_4950002
686,0,0,1322132_4960002
687,0,0,1322132_4970002
688,0,0,1322132_4980002
689,0,0,1322132_4990002
690,0,0,1322132_5000002
691,0,0,1322132_5010002
692,0,0,1322132_5020002
693,0,0,1322132_5030002
694,0,0,1322132_5040002
695,0,0,1322132_5050002
696,0,0,1322132_5060002
697,0,0,1322132_5070002
698,0,0,1322132_5080002
699,0,0,1322132_5090002
700,0,0,1322132_5100002
701,0,0,1322132_5110002
702,0,0,1322132_5120002
703,0,0,1322132_5130002
704,0,0,1322132_5140002
705,0,0,1322132_5150002
706,0,0,1322134_5160000
707,0,0,1323122_5166216
708,0,0,1329075_4837350
709,0,0,1330792_4845002
710,0,0,1330792_4855002
711,0,0,1330792_4865002
712,0,0,1330792_4875002
713,0,0,1330792_4885002
714,0,0,1330792_4895002
715,0,0,1330792_4905002
716,0,0,1330792_4915002
717,0,0,1330792_4925002
718,0,0,1330792_4935002
719,0,0,1330792_4945002
720,0,0,1330792_4955002
721,0,0,1330792_4965002
722,0,0,1330792_4975002
723,0,0,1330792_4985002
724,0,0,1330792_4995002
725,0,0,1330792_5005002
726,0,0,1330792_5015002
727,0,0,1330792_5025002
728,0,0,1330792_5035002
729,0,0,1330792_5045002
730,0,0,1330792_5055002
731,0,0,1330792_5065002
732,0,0,1330792_5075002
733,0,0,1330792_5085002
734,0,0,1330792_5095002
735,0,0,1330792_5105002
736,0,0,1330792_5115002
737,0,0,1330792_5125002
738,0,0,1330792_5135002
739,0,0,1330792_5145002
740,0,0,1330792_5155002
741,0,0,1330793_5165002
742,0,0,1332969_5172683
743,0,0,1338646_4841412
744,0,0,1339453_4850002
745,0,0,1339453_4860002
746,0,0,1339453_4870002
747,0,0,1339453_4880002
748,0,0,1339453_4890002
749,0,0,1339453_4900002
750,0,0,1339453_4910002
751,0,0,1339453_4920002
752,0,0,1339453_4930002
753,0,0,1339453_4940002
754,0,0,1339453_4950002
755,0,0,1339453_4960002
756,0,0,1339453_4970002
757,0,0,1339453_4980002
758,0,0,1339453_4990002
759,0,0,1339453_5000002
760,0,0,1339453_5010002
761,0,0,1339453_5020002
762,0,0,1339453_5030002
763,0,0,1339453_5040002
764,0,0,1339453_5050002
765,0,0,1339453_5060002
766,0,0,1339453_5070002
767,0,0,1339453_5080002
768,0,0,1339453_5090002
769,0,0,1339453_5100002
770,0,0,1339453_5110002
771,0,0,1339453_5120002
772,0,0,1339453_5130002
773,0,0,1339453_5140002
774,0,0,1339453_5150002
775,0,0,1339453_5160002
776,0,0,1339453_5170002
777,0,0,1340222_5179537
778,0,0,1342385_5187217
779,0,0,1346293_4846641
780,0,0,1348098_4854997
781,0,0,1348113_4865002
782,0,0,1348113_4875002
783,0,0,1348113_4885002
784,0,0,1348113_4895002
785,0,0,1348113_4905002
786,0,0,1348113_4915002
787,0,0,1348113_4925002
788,0,0,1348113_4935002
789,0,0,1348113_4945002
790,0,0,1348113_4955002
791,0,0,1348113_4965002
792,0,0,1348113_4975002
793,0,0,1348113_4985002
794,0,0,1348113_4995002
795,0,0,1348113_5005002
796,0,0,1348113_5015002
797,0,0,1348113_5025002
798,0,0,1348113_5035002
799,0,0,1348113_5045002
800,0,0,1348113_5055002
801,0,0,1348113_5065002
802,0,0,1348113_5075002
803,0,0,1348113_5085002
804,0,0,1348113_5095002
805,0,0,1348113_5105002
806,0,0,1348113_5115002
807,0,0,1348113_5125002
808,0,0,1348113_5135002
809,0,0,1348113_5145002
810,0,0,1348113_5155002
811,0,0,1348113_5165002
812,0,0,1348113_5175002
813,0,0,1348113_5185002
814,0,0,1349289_5190697
815,0,0,1352870_4851293
816,0,0,1353572_4862204
817,0,0,1356739_4870064
818,0,0,1356773_4880002
819,0,0,1356773_4890002
820,0,0,1356773_4900002
821,0,0,1356773_4910002
822,0,0,1356773_4920002
823,0,0,1356773_4930002
824,0,0,1356773_4940002
825,0,0,1356773_4950002
826,0,0,1356773_4960002
827,0,0,1356773_4970002
828,0,0,1356773_4980002
829,0,0,1356773_4990002
830,0,0,1356773_5000002
831,0,0,1356773_5010002
832,0,0,1356773_5020002
833,0,0,1356773_5030002
834,0,0,1356773_5040002
835,0,0,1356773_5050002
836,0,0,1356773_5060002
837,0,0,1356773_5070002
838,0,0,1356773_5080002
839,0,0,1356773_5090002
840,0,0,1356773_5100002
