Code,AU2013_NAM,area_sqkm,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
528800,Maeroa,1.4141515,0,0,0,0,0,0,0.013126596,0.909378283,0.056761164,0,0.0047152,0,0,0.016018757
528900,Frankton Junction,3.1034499,0,0,0,0,0,0,0.004685599,0.890547273,0.00622042,0.037426947,0.051264752,0,0,0.009855009
529000,Swarbrick,1.55979289,0,0,0,0,0,0,0.010819612,0.984696324,0.003326886,0,0,0,0,0.001157178
529100,Hamilton Lake,3.58788353,0,0,0,0,0,0.001845584,0,0.828010813,0,0.010282541,0.132631595,0,0,0.027229466
529200,Melville,1.85268252,0,0,0,0,0,0,0,0.909367289,0,0.071156831,0,0,0,0.019475881
529300,Glenview,2.4335307,0,0,0.01945739,0,0,0,0,0.568573392,0,0.356323669,0,0,0,0.055645549
529401,Queenwood,1.85929392,0,0,0,0,0,0,0.035280973,0.917623013,0.004443625,0,0.031419892,0.010121591,0,0.001110906
529402,Chedworth,1.65948492,0,0,0,0,0,0,0.113520021,0.868796565,0,0.009858894,0,0.007824519,0,0
529501,Porritt,1.13134305,0,0,0,0,0,0,0.046665519,0.803726871,0,0.149607611,0,0,0,0
529502,Insoll,0.76250574,0,0,0,0,0,0,0.006337851,0.984699531,0,0.008962618,0,0,0,0
529503,Fairview Downs,1.15272125,0,0,0,0,0,0,0,0.568610266,0,0.431389734,0,0,0,0
529600,Chartwell,1.59448539,0,0,0,0,0,0,0.089212721,0.832994429,0.005782349,0,0.071236078,0,0,0.000774422
529700,Hamilton Central,2.69695404,0,0,0,0,0,0,0.001951723,0.924013236,0.012324166,0,0.054218516,0,0,0.007492359
529800,Clarkin,1.28548223,0,0,0,0,0,0,0.055194574,0.944805426,0,0,0,0,0,0
529900,Claudelands,1.23563395,0,0,0,0,0,0,0.021509553,0.894838084,0,0,0.054577468,0,0,0.029074894
530000,Enderley,1.57668901,0,0,0,0,0,0,0,0.804338492,0,0.184575612,0,0,0,0.011085896
530100,Peachgrove,1.4883987,0,0,0,0,0,0,0.001133334,0.940959664,0,0,0.037745427,0,0,0.020161575
530200,Hamilton East,1.58466227,0,0,0,0,0,0,0.011753016,0.941804762,0,0,0.038932503,0,0,0.00750972
530300,Naylor,2.35484943,0,0,0,0,0,0.00187619,0,0.83513678,0,0.053795294,0.070658672,0,0,0.038533063
530400,Bader,1.83296453,0,0,0,0,0,0.000514134,0,0.713921828,0,0.127254398,0.029538248,0,0,0.128771391
530500,University,1.83937784,0,0,0,0,0,0,0,0.826504173,0,0.162153583,0.011342244,0,0,0
530600,Silverdale,1.10665475,0,0,0,0,0,0,0.03427849,0.601670833,0,0.280777996,0,0.073259524,0,0.010013157
530700,Hillcrest West,1.13782774,0,0,0,0,0,0,0,1,0,0,0,0,0,0
530800,Riverlea,1.73958861,0,0,0,0,0,0.014088772,0.06250019,0.504374733,0.005995222,0.285165852,0.040613347,0.008872929,0,0.078388956
531001,Te Awamutu West,0.99003846,0,0,0,0,0,0,0,0.63386161,0,0.351648971,0,0,0,0.014489419
531002,Te Awamutu Central,2.23906782,0,0,0,0,0,0,0,0.759567165,0,0.240432835,0,0,0,0
531003,Te Awamutu East,3.50629338,0,0,0.01302273,0,0,0,0,0.46693236,0.004596258,0.513150524,0,0,0,0.002298129
531004,Te Awamutu South,1.8868546,0,0,0,0,0,0,0,0.605045086,0,0.394954914,0,0,0,0
531100,Kawhia Community,0.91837262,0.339254162,0,0,0,0,0,0,0.312470938,0.039058867,0.274063052,0,0.027341207,0,0.007811773
531200,Otorohanga,3.93539397,0,0,0,0,0,0.019954181,0,0.262730055,0.013579929,0.692095896,0.009977091,0,0,0.001662848
531301,Otorohanga Rural West,735.340484,0.124885456,0,0.001691724,0,0,0.006766895,0.019031891,0.001268793,0.038063782,0.487286898,0.000845862,0.056672742,0.005075171,0.258410787
531303,Te Kawa,54.826041,0,0,0.002152067,0,0,0.001076034,0.008070253,0.001614051,0.010042981,0.95588262,0.004304135,0.001434712,0,0.015423149
531304,Otorohanga Rural East,1204.02553,0,0,0.003038898,0,0,0.001012966,0.018233387,0.001519449,0.059258509,0.676357374,0.008610211,0.033427877,0,0.198541329
531500,Piopio,1.68240402,0,0,0,0,0,0,0,0.174038036,0,0.812693498,0,0,0,0.013268465
531600,Taharoa,68.4500761,0.392166954,0,0,0,0,0.015465377,0.002058619,0.005146548,0.067934433,0.274311006,0.014410334,0.121458532,0.023674121,0.083374077
531710,Mahoenui,733.671951,0.058291457,0,0,0,0,0.001005025,0.022613065,0.00201005,0.042211055,0.347236181,0.005025126,0.049246231,0.004020101,0.468341709
531720,Marokopa,1233.76461,0.094707147,0,0,0,0,0.003022569,0.020654218,0.001041107,0.032744492,0.527941967,0.003022569,0.025188071,0,0.291677861
531731,Waipa Valley,477.675782,0,0,0,0,0,0.003026736,0.021187153,0.00252228,0.059525811,0.662518917,0,0.020178241,0,0.231040861
531732,Tiroa,182.329733,0,0,0,0,0,0.001030397,0.034003091,0,0.337970118,0.344667697,0,0.041215868,0,0.241112828
531800,Mokauiti,831.641607,0,0,0,0,0,0.004018081,0.015067805,0.00100452,0.083375188,0.603214465,0,0.043194375,0,0.250125565
532000,Te Kuiti,5.57394145,0,0,0,0,0,0.019959058,0.01381781,0.368474923,0.032241556,0.5209826,0,0.001535312,0.026100307,0.016888434
532200,Omori,3.38921354,0,0,0.044412607,0,0,0,0.095033429,0.112702961,0.025787966,0.301575931,0.353868195,0.022922636,0.001432665,0.04226361
532300,Owhango,0.92611399,0,0,0,0,0,0,0,0.12408542,0,0.676045446,0.00416394,0,0.00416394,0.191541253
532400,Ohura,3.24524661,0,0,0,0,0,0.006960557,0,0.049718263,0.017898575,0.844547564,0,0.021876036,0,0.058999006
532501,Ngapuke,1285.10534,0,0.001015219,0,0,0,0.013197842,0.015228279,0.000203044,0.113196875,0.466130373,0.006091312,0.030456558,0,0.354480498
532502,Kuratau,452.852571,0,0.001018503,0,0,0,0.024953319,0.099473774,0.001527754,0.137497878,0.276014259,0.187065014,0.03259209,0.003055508,0.236801901
532601,Raurimu,1366.3632,0,0.039658635,0.002008032,0.0562249,0,0.019076305,0.032128514,0,0.047188755,0.240963855,0.003012048,0.110441767,0.038654618,0.41064257
532602,National Park,0.89185751,0,0,0,0,0,0.166666667,0.093333333,0.493333333,0,0.16,0,0.08,0,0.006666667
532700,Otangiwai-Heao,1345.66784,0,0,0.002028672,0,0,0.006593184,0.014200703,0.001555315,0.062381661,0.554841764,0.002028672,0.052745469,0,0.30362456
532901,Tarrangower,3.17140762,0,0,0.0144364,0,0,0.048722851,0,0.211622162,0.022556876,0.587320888,0.012030334,0.023459151,0.01624095,0.063610389
532902,Taumarunui Central,6.87860817,0,0,0.000573613,0,0,0.008030582,0.027246617,0.224819414,0.104540966,0.522360663,0.01147226,0.028393843,0.006596549,0.065965493
532903,Sunshine-Hospital Hill,5.15093474,0,0,0.035686172,0,0,0.03594857,0.008134348,0.150957754,0.041327736,0.561978483,0.033324587,0.033849383,0.001836788,0.096956179
532904,Manunui,5.03951142,0,0,0,0,0,0.009431225,0,0.061907526,0.013058619,0.85079319,0.016686013,0.005803831,0.011607661,0.030711937
533000,Whitianga,24.6769899,0.132495717,0,0.001142204,0,0,0.01027984,0.005711022,0.125071388,0.137064535,0.279840091,0.049685894,0.126784694,0.002284409,0.129640206
533100,Coromandel,19.5691815,0.160663382,0,0,0,0,0.011804211,0.029473869,0.049721391,0.091970204,0.162898117,0.029265646,0.284532817,0.004926975,0.174743387
533200,Te Rerenga,1107.35685,0.566979685,0,0.000240113,0,0,0.013066125,0.050440789,0.011317305,0.046901987,0.093223702,0.019626915,0.056925148,0.022330468,0.118947762
533300,Whangamata,7.81041066,0.066866695,0,0,0,0,0.054007715,0.053364766,0.2978997,0.20445778,0.138876982,0.140805829,0.007715388,0.011573082,0.024432062
533400,Tairua,5.02443768,0.145221042,0,0,0,0,0.024450482,0.011854779,0.199308471,0.015188936,0.151395406,0.15756977,0.163003211,0.010372932,0.121634972
533501,Moanataiari,6.94953938,0.239024941,0,0,0,0,0,0,0.118045367,0,0,0,0.099537298,0,0.543392394
533502,Parawai,9.53716907,0.028920308,0,0,0,0,0.050985433,0.029562982,0.185518423,0.001285347,0.305484147,0.05227078,0.034061697,0.030848329,0.281062554
533602,Pauanui Beach,5.70559654,0.076424699,0,0.028560095,0,0,0.040460135,0.017453392,0.272378686,0.071796906,0.039402354,0.228480762,0.001057781,0.019040063,0.204945128
533603,Hikuai,988.397824,0.28351836,0,0,0,0,0.005367817,0.036964743,0.007685739,0.069171648,0.149566915,0.009637672,0.074783457,0.025619129,0.337684519
533604,Te Puru-Thornton Bay,22.1617347,0.08662396,0,0,0,0,0,0.004589349,0.022373076,0,0.026388756,0,0.090830863,0.003442012,0.765751984
533800,Ngatea,1.72668804,0,0,0,0,0,0,0,0.271662568,0,0.69332722,0.035010211,0,0,0
533901,Hauraki Plains,503.594177,0.04815985,0,0.004098711,0,0,0.126035351,0.009734438,0.003415592,0.042011784,0.714285714,0.011783793,0.013320809,0,0.027153958
533902,Turua,90.7079842,0.02975189,0,0,0,0,0.035064728,0.002656419,0.010661094,0.01700108,0.827651549,0.056670268,0.009563108,0,0.010979864
533903,Kerepehi,7.80742026,0,0,0.003959089,0,0,0,0,0.025954031,0.001319696,0.962168701,0.006598482,0,0,0
534100,Waihi Beach,39.1668958,0.125230251,0,0.052321401,0,0,0.009892261,0.011571584,0.036000483,0.128940505,0.527491039,0.004408222,0.003857195,0.023143168,0.077143892
534200,Ohinemuri,562.403754,0.042702795,0,0.019722175,0,0,0.003086949,0.045275253,0.014405762,0.033270451,0.445892643,0.010804322,0.026239067,0.006173898,0.352426685
534300,Paeroa,12.3780308,0,0,0.002474227,0,0,0,0,0.129896907,0.00742268,0.798350515,0.035876289,0,0,0.025979381
534400,Waihi,10.0751036,0,0,0.015176878,0,0,0.001339136,0.011382658,0.25398951,0.031692891,0.567905368,0.002678273,0.005356545,0.060261132,0.05021761
534500,Tahuroa,321.089198,0,0,0.007193928,0,0,0.001027704,0.003083112,0.005799187,0.01027704,0.929455464,0,0.001027704,0,0.042135862
534602,Waitoa,5.86997648,0,0,0,0,0,0.004855286,0,0.033986999,0.007552666,0.940657621,0,0,0,0.012947428
534603,Springdale,434.497387,0,0,0.003586882,0,0,0.065588704,0.014347529,0.005465725,0.018788431,0.785128672,0.003074471,0.014347529,0,0.089672056
534604,Waihou-Walton,516.058889,0,0,0.024007545,0,0,0.006173369,0.00205779,0.008831347,0.016462317,0.759324359,0.004115579,0.008231158,0,0.170796536
534800,Te Aroha,11.5886238,0,0,0,0,0,0.021587302,0,0.153862434,0.002539683,0.496296296,0.016507937,0.041904762,0.001269841,0.266031746
534901,Morrinsville West,3.4580328,0,0,0,0,0,0,0,0.449627131,0.006752647,0.512107871,0,0,0,0.031512352
534902,Morrinsville East,4.32259631,0,0,0.089863116,0,0,0.007237298,0,0.44980022,0.003618649,0.398819631,0.003618649,0,0,0.047042437
535000,Waharoa,0.5282673,0,0,0.007133233,0,0,0,0,0.483633193,0,0.466434176,0,0,0,0.042799398
535100,Tirau,0.8963875,0,0,0,0,0,0.004765146,0,0.447923758,0.004765146,0.54254595,0,0,0,0
