X,Y,OBJECTID,ATF_CODE,FACILITY,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,CITY,STATUS,CONTAINE_2,proportionToHere
1766697.541,5903556.162,4405,15782,South Pacific Distribution (NZ) Ltd,Unit 4B/ 114 Wiri Station Road,Wiri Z1,PO Box 300 760,Albany,Auckland,current 2009/10,19,1.1915410638098297e-06
1758926,5904628,4406,15785,Aion Cargo Solutions Ltd,Bay 1 Auckland Freight Centre George Bolt Dr,Auckland Airport Z1,PO Box 201 205,Auckland Airport,Auckland,current 2009/10,2,0.0002880453303660614
1565910.651,5178456.278,4408,15787,Just Wood Co. Ltd.,66C Magdala Place,Christchurch,PO Box 10325,Phillipstown,Christchurch,current 2009/10,14,1.7572828390663113e-07
1571073.791,5178346.903,4410,15790,Viscount Plastics - CHC,345 Brougham Street,Sydenham,PO Box 7111,Christchurch,Canterbury,current 2009/10,10,0.0007527505398938392
1697025,5677169,4411,15791,Katere Bulk Storage,Katere Rd,Bell Block,PO Box 472,New Plymouth,New Plymouth,current 2009/10,64,1.568065816949363e-06
1793617.68,5817354.114,4412,15792,Cross Country Waikato Ltd.,18 Pheasant Close,Rotokauri,PO Box 10167,Te Rapa,Hamilton,current 2009/10,10,0.0005211217170594276
1792395.579,5499294.334,4413,15793,Emmerson Transport Limited,"Cambridge Street,",Levin,PO Box 2351,"Sortfort Lodge, Hastings",Wellington,current 2009/10,18,1.1915410638098297e-06
1751732.56,5932165.741,4414,15799,Food House Co Ltd,Unit D/ 15 Douglas Alexander Parade,Albany Z3,m-267 Private Bag 300987,"Albany, NSC 0752",Auckland,current 2009/10,2,0.0002880453303660614
1751731.854,5932166.212,4415,15800,Du Business Limited,Unit G/ 15 Doulas Alexander Parade,Albany Z3,Unit G/ 15 Doulas Alexander Parade,Albany,Auckland,current 2009/10,2,1.1915410638098297e-06
1757919.904,5905627.399,4416,15801,Rinnai New Zealand Ltd,105 Pavilion Drive,Airport Oaks Z1,PO Box 53177,Airport Oaks,Auckland,current 2009/10,75,0.0002880453303660614
1931109,5606856,4417,15809,Ludowici Packaging Limited,Corner Tomoana and Coventry Rd,Hastings,PO Box 13008,Hastings,Napier,current 2009/10,21,0.0003068596125941006
1779207.83,5882838.14,4418,15810,Simunovich Olive Estate.,49 Main Road,Bombay Z2,49 Main Road,Bombay,Auckland,current 2009/10,1,1.1915410638098297e-06
1766786.064,5902403.145,4421,15816,Paloga NZ Ltd.,44 Dalgety Drive,Wiri Z1,PO BOX 276199,South Auckland Mail Centre,Auckland,current 2009/10,123,1.1915410638098297e-06
1758040.79,5906758.34,4422,15818,Hawk Customs & Freight Ltd,Unit 2/ 197 Montgomerie Road,Airport Oaks Z1,PO Box 73 070,Auckland Airport,Auckland,current 2009/10,7,0.0002880453303660614
1617786,5425544,4423,15819,PrimePanels New Zealand Ltd,8 Saxton Road,Stoke,"PO Box 258035, Greenmount",Auckland,Nelson,current 2009/10,27,4.6531385176110034e-05
1754364.274,5931668.838,4425,15822,Carolina Trading Wholesale Ltd,10F Vega Place,Albany Z3,PO Box 305 023,Albany,Auckland,current 2009/10,8,0.0002880453303660614
1768320.66,5910636.361,4426,15824,Pride Logistics,36 Neales Road,East Tamaki z2,PO Box 14038,Panmure,Auckland,current 2009/10,870,1.1915410638098297e-06
1766276.677,5903722.317,4429,15827,Refraction Marketing Ltd,Unit 15/ 138 Plunket Avenue,Manukau Z1,PO Box 76 132,Manukau,Auckland,current 2009/10,7,1.1915410638098297e-06
1768537.791,5908034.656,4430,15828,Kwikserv Scaffolding Ltd,38 Birmingham Road,East Tamaki Z1,PO Box 58 242,Greenmount,Auckland,current 2009/10,7,1.1915410638098297e-06
1762588.157,5912367.198,4431,15829,Flooring Wholesale Limited (Auckland),9 Industry Road,Penrose Z1,PO Box 112 027,Penrose,Auckland,current 2009/10,26,0.0002880453303660614
1750456.641,5914069.353,4432,15830,Cambridge Clothing Company Ltd,1/7 Veronica St,New Lynn Z2,Private Bag 93001,New Lynn Auckland,Auckland,current 2009/10,32,0.0002880453303660614
1575149.943,5181579.14,4433,15831,Baker Boys Ltd.,10 Helanca Ave,Wainoni,10 Helanca Ave,Wainoni 8061,Christchurch,current 2009/10,3,1.1915410638098297e-06
1758327.667,5906590.804,4434,15832,Tyremax New Zealand,5-7 Doncaster Street,Airport Oaks Z1,PO Box 1590,Inver cargill. 9840,Auckland,current 2009/10,155,0.0002880453303660614
1772020.939,5445923.532,4435,15833,Medent Barr Agencies,"Unit 4, 110 Whakatiki Street",Upper Hutt,"Unit 4, 110 Whakatiki Street",Uppper Hutt,Upper Hutt,current 2009/10,3,1.1915410638098297e-06
1769790.438,5880191.134,4436,15836,Vernon & Vasey - 35/39 Crosbie Rd,35-39 Crosbie Road,Pukekohe Z3,PO Box 201,Pukekohe  2340,Auckland,current 2009/10,4,0.0002880453303660614
1754199.418,5443106.537,4437,15837,Plumbline Bathrooms,63 Kenepuru Drive,Porirua,PO Box 38424,Wellington Mail Centre,Wellington,current 2009/10,26,0.00030305714073883467
1878985.226,5821766.155,4438,15843,Tauranga Floor Coverings,33 Burrows Street,Tauranga,PO Box 2649,,Tauranga,current 2009/10,5,0.0005211217170594276
1601142.093,5447450.961,4440,15855,Fruitfed Supplies - Motueka,26 Old Wharf Road,Motueka,PO Box 40,Motueka,Motueka,current 2009/10,5,1.1915410638098297e-06
1756692.08,5920736.496,4441,15856,Design Warehouse,136 Fanshawe Street,Auckland City z2,PO Box 33-184,Takapuna,Auckland,current 2009/10,15,0.0002880453303660614
1745500.519,5920513.003,4442,15857,Tanks Alot Ltd,337 Lincoln Rd,Henderson z2,PO Box 35253,Browns Bay,Auckland,current 2009/10,4,0.0002880453303660614
1752221.076,5931893.442,4443,15858,Supermarket Sales NZ Ltd,156D Bush Road,Albany Z3,PO Box 36 548,Northcote,Auckland,current 2009/10,12,0.0002880453303660614
1744990.9,5916222.502,4445,15860,IL Associates Ltd,78 Henderson Valley Road,Henderson Z2,PO Box 83283,Waitakere City,Auckland,current 2009/10,2,0.0002880453303660614
1568282.048,5179847.268,4447,15864,Acquisitions Warehouse,18 Leslie Hills Drive,"Riccarton, Christchurch , 8011","286 George St, Dunedin, 9016",,Christchurch,current 2009/10,5,1.1915410638098297e-06
1764601.548,5903235.214,4449,15867,New Zealand Trucks Ltd,21 Vogler Drive,Wiri Z1,PO Box 97548,South Auckland Mail Centre,Auckland,current 2009/10,12,0.0002880453303660614
1754610.204,5928750.293,4450,15868,Milford Intl. Tdg. Ltd,4A Ashfield Road,Glenfield Z3,PO Box 31911,Milford,Auckland,current 2009/10,3,0.0002880453303660614
1618314.877,5425594.978,4452,15870,Gibson Timber Ltd,22 Echodale Place,Stoke,PO Box 2358,,Nelson,current 2009/10,10,4.6531385176110034e-05
1671625,5405149,4454,15872,Talleys Group Ltd (Blenheim),Old Renwick Road,Renwick,PO Box 304,Blenheim,Blenheim,current 2009/10,9,1.1915410638098297e-06
1761049.173,5911742.351,4455,15873,Hayes Metal Refineries,8 Edinburgh St,Onehunga Auckland Z1,PO Box 13139,Onehunga Auckland,Auckland,current 2009/10,61,0.0002880453303660614
1762405.711,5911976.782,4456,15874,Reid & Twiname,118 Hugo Johnston Drive,Penrose Z1,P O Box 11-2230,Penrose,Auckland,current 2009/10,207,0.0002880453303660614
1892063,5820462,4457,15875,Bossanova Enterprises Ltd,"Unit 1, 9 Reynolds Place",Papamoa 3118,"Unit 1, 9 Reynolds Place",Papamoa 3118,Mount Maunganui,current 2009/10,13,0.0005211217170594276
