Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1477,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1478,0.0,0.00017794800297918418,7.245039029034155e-05,0.0034101660940763457,1.86981128765065e-05,0.00021435090690472377,1.873760255323815e-05,2.7218212962275055e-05,1.694366692364097e-05,0.002790133460046122,0.00029812620599804036,0.0004687842690331194,0.0003056782146145018,0.00015069029237025201
1479,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1480,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1481,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1482,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1483,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1484,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1485,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1486,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1487,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1488,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1489,0.0,7.564870129291037e-05,7.880073025239464e-05,0.002341957648467854,0.0,0.00015760145423950096,9.456086878452758e-06,1.4709468477593179e-05,6.3040579189685055e-06,0.002797425858174482,0.00017651363426169478,0.0004040901326548038,0.00015129739632053243,5.1483139671576125e-05
1490,0.0,0.0001300087262986461,5.3825065267515615e-05,0.002502541220907705,0.0,0.0001379126352659086,4.9026498890854515e-06,7.626344271910703e-06,6.379344921781023e-05,0.004001064445486493,0.0001347482920156078,0.000326233398812821,0.00017787635626253254,2.669220495168746e-05
1491,0.0,0.0001707921407868191,3.508716187087933e-05,0.00262301847223554,0.0,0.00012314116919505744,1.4864500609291843e-06,2.3122556503342868e-06,0.00010692465958362832,0.004904089994042143,0.00010341399325685764,0.0002678216624930061,0.00019781712597087287,8.092894776170003e-06
1492,0.0,0.00018853773881981732,2.6933962688545334e-05,0.0026754402937288362,0.0,0.00011671383831702977,0.0,0.0,0.0001256918258798782,0.005297012671049591,8.977987562848443e-05,0.00024240566419690796,0.0002064937139455142,0.0
1493,0.0,0.00018853773881981732,2.6933962688545334e-05,0.0026754402937288362,0.0,0.00011671383831702977,0.0,0.0,0.0001256918258798782,0.005297012671049591,8.977987562848443e-05,0.00024240566419690796,0.0002064937139455142,0.0
1494,0.0,0.00018557121791646438,0.003612534441569584,0.0026333439494812564,0.0,0.00011487742061495414,0.0,0.034664901037628496,0.0019167262790684017,0.09456543848396734,8.836724662688779e-05,0.00023859156589259702,0.00020324466724184193,0.0
1495,0.0,0.00016857829918801414,0.0241516843465882,0.0023922063408584864,0.0,0.00010435799473543732,0.0,0.23323348196237154,0.01217618639900125,0.6059156545372439,8.027538056572101e-05,0.00021674352752744673,0.00018463337530115833,0.0
1496,0.0,0.00018853773881981732,2.6933962688545334e-05,0.0026754402937288362,0.0,0.00011671383831702977,0.0,0.0,0.0001256918258798782,0.005297012671049591,8.977987562848443e-05,0.00024240566419690796,0.0002064937139455142,0.0
1497,0.0,0.00018853773881981732,2.6933962688545334e-05,0.0026754402937288362,0.0,0.00011671383831702977,0.0,0.0,0.0001256918258798782,0.005297012671049591,8.977987562848443e-05,0.00024240566419690796,0.0002064937139455142,0.0
1498,0.0,0.00018853773881981732,2.6933962688545334e-05,0.0026754402937288362,0.0,0.00011671383831702977,0.0,0.0,0.0001256918258798782,0.005297012671049591,8.977987562848443e-05,0.00024240566419690796,0.0002064937139455142,0.0
1499,0.00047316867241499266,0.00016642159524773336,6.152996644616515e-05,0.002744235025194769,0.0,0.00012505795579541214,0.000102315244547943,7.52166094494087e-06,0.00045179242708124023,0.007433053032571871,7.836520274462465e-05,0.000557015875817076,0.00021084180209047062,1.854657217983482e-05
1500,0.0046037594450466825,2.025984536289963e-05,0.00042830383929878775,0.0013580537846618554,0.0,0.00020659302295698829,0.00018261190725231635,3.673025774176569e-05,0.0008818001397225468,0.010141597846703954,3.74207849663448e-05,0.0009505737321478355,0.00017199012418315054,2.153025690120388e-05
