left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1177794.594,5005002.334,1189341.604,5015002.338,5.05322,170,"-44.94129, 167.72176",86.303
1177794.594,5015002.338,1189341.604,5025002.343,5.05322,171,"-44.85165, 167.72998",86.303
1177794.594,5025002.343,1189341.604,5035002.348,5.05322,172,"-44.76201, 167.73816",86.303
1177794.594,5035002.348,1189341.604,5045002.352,5.05322,173,"-44.67237, 167.7463",86.303
1177794.594,5045002.352,1189341.604,5055002.357,5.05322,174,"-44.60615, 167.76307",30.683
1177794.594,5055002.357,1189341.604,5065002.362,5.05322,175,"-44.49844, 167.82599",1.081
1186454.852,4740002.21,1198001.862,4750002.215,5.05322,176,"-47.27701, 167.57048",0.167
1186454.852,4750002.215,1198001.862,4760002.219,5.05322,177,"-47.22581, 167.60166",51.97
1186454.852,4760002.219,1198001.862,4770002.224,5.05322,178,"-47.1424, 167.62686",78.337
1186454.852,4770002.224,1198001.862,4780002.229,5.05322,179,"-47.06949, 167.64283",43.53
1186454.852,4780002.229,1198001.862,4790002.233,5.05322,180,"-46.97021, 167.68778",6.72
1186454.852,4800002.238,1198001.862,4810002.243,5.05322,181,"-46.77615, 167.65294",20.439
1186454.852,4810002.243,1198001.862,4820002.247,5.05322,182,"-46.70711, 167.71815",0.649
1186454.852,4850002.261,1198001.862,4860002.266,5.05322,183,"-46.32705, 167.73518",28.03
1186454.852,4860002.266,1198001.862,4870002.271,5.05322,184,"-46.23652, 167.72645",54.429
1186454.852,4870002.271,1198001.862,4880002.275,5.05322,185,"-46.15639, 167.71863",86.318
1186454.852,4880002.275,1198001.862,4890002.28,5.05322,186,"-46.06677, 167.72721",86.318
1186454.852,4890002.28,1198001.862,4900002.285,5.05322,187,"-45.97715, 167.73575",86.318
1186454.852,4900002.285,1198001.862,4910002.289,5.05322,188,"-45.88753, 167.74424",86.318
1186454.852,4910002.289,1198001.862,4920002.294,5.05322,189,"-45.7979, 167.7527",86.318
1186454.852,4920002.294,1198001.862,4930002.299,5.05322,190,"-45.70827, 167.76112",86.318
1186454.852,4930002.299,1198001.862,4940002.303,5.05322,191,"-45.61864, 167.76949",86.318
1186454.852,4940002.303,1198001.862,4950002.308,5.05322,192,"-45.529, 167.77783",86.318
1186454.852,4950002.308,1198001.862,4960002.313,5.05322,193,"-45.43936, 167.78613",86.318
1186454.852,4960002.313,1198001.862,4970002.317,5.05322,194,"-45.34972, 167.79439",86.318
1186454.852,4970002.317,1198001.862,4980002.322,5.05322,195,"-45.26008, 167.80261",86.318
1186454.852,4980002.322,1198001.862,4990002.327,5.05322,196,"-45.17043, 167.81079",86.318
1186454.852,4990002.327,1198001.862,5000002.331,5.05322,197,"-45.08079, 167.81894",86.318
1186454.852,5000002.331,1198001.862,5010002.336,5.05322,198,"-44.99113, 167.82704",86.318
1186454.852,5010002.336,1198001.862,5020002.341,5.05322,199,"-44.90148, 167.83511",86.318
1186454.852,5020002.341,1198001.862,5030002.345,5.05322,200,"-44.81182, 167.84314",86.318
1186454.852,5030002.345,1198001.862,5040002.35,5.05322,201,"-44.72217, 167.85113",86.318
1186454.852,5040002.35,1198001.862,5050002.355,5.05322,202,"-44.63338, 167.85462",71.165
1186454.852,5050002.355,1198001.862,5060002.359,5.05322,203,"-44.54339, 167.87419",75.727
1186454.852,5060002.359,1198001.862,5070002.364,5.05322,204,"-44.46172, 167.89494",50.117
1186454.852,5070002.364,1198001.862,5080002.369,5.05322,205,"-44.40278, 167.91848",0.473
1195115.11,4755002.217,1206662.12,4765002.222,5.05322,206,"-47.17171, 167.72741",31.175
1195115.11,4765002.222,1206662.12,4775002.226,5.05322,207,"-47.10253, 167.73969",86.333
1195115.11,4775002.226,1206662.12,4785002.231,5.05322,208,"-47.01227, 167.75274",80.334
1195115.11,4785002.231,1206662.12,4795002.236,5.05322,209,"-46.92892, 167.78435",43.795
1195115.11,4795002.236,1206662.12,4805002.24,5.05322,210,"-46.82982, 167.77943",65.358
1195115.11,4805002.24,1206662.12,4815002.245,5.05322,211,"-46.74503, 167.77763",81.944
1195115.11,4815002.245,1206662.12,4825002.25,5.05322,212,"-46.69585, 167.79012",3.693
1195115.11,4835002.254,1206662.12,4845002.259,5.05322,213,"-46.45604, 167.84515",1.041
1195115.11,4845002.259,1206662.12,4855002.264,5.05322,214,"-46.36265, 167.81142",34.564
1195115.11,4855002.264,1206662.12,4865002.268,5.05322,215,"-46.29596, 167.81766",86.333
1195115.11,4865002.268,1206662.12,4875002.273,5.05322,216,"-46.20633, 167.82612",86.333
1195115.11,4875002.273,1206662.12,4885002.278,5.05322,217,"-46.1167, 167.83454",86.333
1195115.11,4885002.278,1206662.12,4895002.282,5.05322,218,"-46.02706, 167.84291",86.333
1195115.11,4895002.282,1206662.12,4905002.287,5.05322,219,"-45.93742, 167.85125",86.333
1195115.11,4905002.287,1206662.12,4915002.292,5.05322,220,"-45.84778, 167.85955",86.333
1195115.11,4915002.292,1206662.12,4925002.296,5.05322,221,"-45.75813, 167.86781",86.333
1195115.11,4925002.296,1206662.12,4935002.301,5.05322,222,"-45.66849, 167.87603",86.333
1195115.11,4935002.301,1206662.12,4945002.306,5.05322,223,"-45.57884, 167.88421",86.333
1195115.11,4945002.306,1206662.12,4955002.31,5.05322,224,"-45.48918, 167.89236",86.333
1195115.11,4955002.31,1206662.12,4965002.315,5.05322,225,"-45.39953, 167.90046",86.333
1195115.11,4965002.315,1206662.12,4975002.32,5.05322,226,"-45.30987, 167.90853",86.333
1195115.11,4975002.32,1206662.12,4985002.324,5.05322,227,"-45.22021, 167.91656",86.333
1195115.11,4985002.324,1206662.12,4995002.329,5.05322,228,"-45.13055, 167.92455",86.333
1195115.11,4995002.329,1206662.12,5005002.334,5.05322,229,"-45.04088, 167.93251",86.333
