Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
241000,0.000832572,Cannons Creek East,Cannons Creek East,4240,4110,3960,3750,4080,1130,1540,1060,350,27.6,800,980,2790,300,90,27.7,37.7,26,8.6,96,19.7,24,68.4,7.2,2.2,5444.401987
239100,0.000571373,Titahi Bay North,Titahi Bay North,2400,2470,2540,2560,2800,630,990,870,310,34.5,1970,1020,480,230,20,22.5,35.3,31,11,97,70.3,36.4,17.2,8.1,0.7,7663.555344
241100,0.000342824,Cannons Creek South,Cannons Creek South,1660,1730,1640,1600,1680,460,650,460,120,28.4,450,490,1010,140,40,27.1,38.4,27,7.3,98,26.6,28.9,59.7,8.2,2.5,7494.884624
239200,0.000797881,Titahi Bay South,Titahi Bay South,3390,3250,3400,3700,3910,930,1320,1180,480,34,2580,1410,850,330,70,23.9,33.7,30,12.4,91,66,36.1,21.6,8.5,1.8,10739.91713
241300,0.000377514,Riverstone Terraces,Riverstone Terraces,0,80,680,1450,1850,390,610,730,120,37.5,1350,180,110,390,30,21.1,33.1,39,6.6,101,73.2,10,6.1,21.2,1.5,7945.194558
239300,0.000514235,Elsdon-Takapuwahia,Elsdon-Takapuwahia,2400,2340,2340,2240,2520,610,970,690,250,30.8,1200,1330,730,260,20,24.4,38.5,27,9.9,99,47.7,52.7,28.9,10.5,0.8,17916.09217
241400,0.000522398,Heretaunga,Heretaunga,2290,2290,2300,2240,2560,480,760,790,540,41.3,2090,330,160,270,20,18.6,29.7,31,21,100,81.7,12.9,6.3,10.5,0.8,8396.44851
239500,0.000402001,Onepoto,Onepoto,1970,1940,1920,1870,1970,470,640,620,230,35.2,1390,640,360,90,30,23.9,32.7,32,11.6,96,70.6,32.6,18.3,4.6,1.4,7553.374958
239600,0.000422408,Camborne,Camborne,1560,1660,1710,1980,2070,440,580,790,260,40.6,1890,200,60,140,20,21,28.2,38,12.5,94,91.6,9.7,2.9,6.7,1.2,4525.850745
318000,0.000608104,Bishopdale West,Bishopdale West,3010,2940,2900,2910,2980,590,1020,920,450,37.2,2350,290,190,380,30,19.8,34.1,31,15.1,100,79,9.6,6.5,12.7,1,4331.341971
239800,0.000520357,Paremata,Paremata,2340,2340,2370,2450,2550,410,670,970,490,46.3,2300,310,150,110,20,16.3,26.3,38,19.3,94,90.4,12,5.9,4.5,0.9,10535.90847
241800,0.000740744,Silverstream (Upper Hutt City),Silverstream (Upper Hutt City),3310,3440,3420,3360,3630,700,1010,1330,590,42.3,3260,310,130,240,30,19.4,27.7,37,16.4,98,89.8,8.5,3.6,6.6,0.8,8144.745907
239900,5.71E-05,Porirua Central,Porirua Central,430,290,380,450,280,10,130,120,20,39.7,160,80,40,40,10,3.5,46.9,42,7.1,243,57,27.5,13.4,13.6,2.1,15374.74251
240100,0.000669322,Aotea,Aotea,10,0,120,2380,3280,790,940,1080,480,38.7,2330,260,230,740,40,24,28.7,33,14.5,93,71.1,8.1,7.1,22.4,1.4,7832.518638
318100,0.000375473,Templeton,Templeton,1550,1630,1630,1860,1840,320,590,670,250,40.3,1650,250,40,100,20,17.7,32,37,13.7,92,89.7,13.8,2.2,5.6,0.9,4502.67566
240400,0.000634632,Whitby,Whitby,2850,2970,3020,3020,3110,640,870,1110,480,41.1,2730,330,200,220,30,20.7,28.1,36,15.5,96,88,10.6,6.3,7.1,1,9653.018349
240500,0.000485667,Porirua East,Porirua East,2180,2190,2250,2170,2380,560,970,640,210,29.7,910,730,1070,300,30,23.4,40.9,27,8.9,98,38.4,30.9,45.2,12.8,1.3,6495.49775
241900,0.000716256,Elderslea,Elderslea,3260,3220,3290,3300,3510,670,1090,1060,680,39.7,2720,660,240,380,50,19.2,31.2,30,19.4,95,77.3,18.7,6.8,10.9,1.5,4697.155292
240600,0.000969293,Endeavour,Endeavour,1890,2600,3130,3580,4750,1050,1340,1790,580,39.9,4130,350,150,480,60,22,28.1,38,12.2,97,87,7.4,3.1,10.2,1.3,11029.56777
240700,0.000744825,Cannons Creek North,Cannons Creek North,3180,3300,3440,3210,3650,1080,1440,880,260,27.2,1020,1060,2140,380,120,29.5,39.3,24,7.2,95,27.8,28.9,58.5,10.4,3.2,6104.015278
242000,0.000650957,Trentham North,Trentham North,2590,2750,2860,3010,3190,540,1110,980,560,38.3,2390,590,240,410,40,17,34.9,31,17.5,93,74.9,18.4,7.6,12.8,1.2,5166.602436
241500,0.000740744,Birchville-Brown Owl,Birchville-Brown Owl,3030,3290,3450,3420,3630,710,1170,1280,460,38.3,3220,510,190,190,30,19.6,32.3,35,12.8,98,88.8,14.2,5.3,5.3,0.7,17787.52364
241600,0.000524438,Poets Block,Poets Block,2320,2380,2310,2320,2570,520,890,820,330,35.8,1990,460,150,300,70,20.4,34.8,32,12.8,99,77.6,17.8,5.7,11.6,2.8,5331.865797
242200,0.000379555,Trentham South,Trentham South,1050,790,1210,1310,1860,140,760,480,480,41.1,1270,550,110,130,20,7.4,41.1,26,25.9,219,68.3,29.5,6,7.1,0.9,14046.19782
242400,0.000524438,Ebdentown,Ebdentown,2510,2440,2430,2410,2570,490,750,840,500,41.4,2040,440,150,310,20,19,29.1,33,19.3,98,79.4,17.2,5.8,11.9,0.8,4750.792807
242500,0.000504032,Wallaceville,Wallaceville,2250,2210,2310,2310,2470,460,850,810,350,37.8,1960,400,170,310,30,18.6,34.4,33,14.3,94,79.4,16.3,6.7,12.5,1.1,3752.406224
