Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
513212,0.9,Starling Park,0.7558127,0.000206259,1.190771206
513213,1.6,Ranui Domain,0.84949836,0.000366682,1.883464495
513214,2.4,Ranui South,0.98688831,0.000550023,2.431886137
513220,2.9,Sturges North,3.75850257,0.000664612,0.771583881
513301,10.25,Kingdale,2.71824251,0.002349059,3.770818815
513302,7.8,Fairdene,1.91612306,0.001787576,4.070719758
513410,4.3,Whenuapai West,17.5732606,0.000985459,0.244689935
513420,2.3,Herald,1.90935458,0.000527106,1.204595534
513431,4.05,Hobsonville East,5.85335185,0.000928165,0.691911251
513432,NA,Hobsonville South,0.85694262,0,NA
513511,4.25,Westgate,1.09555709,0.000974,3.879304911
513512,1,Royal Road West,0.89651517,0.000229176,1.115430094
513521,1.95,West Harbour,1.65139324,0.000446894,1.180821111
513522,1.5,Lucken Point,1.86885852,0.000343765,0.802628976
513530,3.3,Royal Heights,2.46776856,0.000756282,1.337240474
513610,2.4,Massey West,2.91711206,0.000550023,0.822731507
513621,NA,Birdwood West,5.11730948,0,NA
513622,NA,Birdwood East,1.74957793,0,NA
513631,NA,Waimumu North,1.72812018,0,NA
513632,0.7,Waimumu South,1.31648955,0.000160424,0.531717096
513701,0.4,Taupaki,14.4093157,9.17E-05,0.027759819
513702,1.4,Waitakere,13.9960937,0.000320847,0.10002791
513800,1.3,Karekare,184.012467,0.000297929,0.007064739
514000,13,Freemans Bay,1.00198276,0.002979294,12.97427513
514101,37.95,Auckland Harbourside,1.88795082,0.008697246,20.1011592
514102,73.3,Auckland Central West,1.16670155,0.016798634,62.82669291
514103,67.5,Auckland Central East,0.9256949,0.015469411,72.91819367
514200,16.6,Newton,0.43238516,0.003804329,38.39169688
514301,5.9,Grafton West,0.52821622,0.001352141,11.16966836
514302,7.85,Grafton East,0.39729157,0.001799035,19.75878824
514401,12.6,Roberton,1.45848404,0.002887623,8.63910722
514402,7,Glenavon,1.73392928,0.001604235,4.03707353
514500,2.6,New Windsor,1.81563394,0.000595859,1.432006718
514600,3.9,Avondale South,1.45430103,0.000893788,2.681700638
514700,3.7,Blockhouse Bay,2.45020346,0.000847953,1.510078677
514801,6.5,Rosebank,3.28030316,0.001489647,1.981524171
514802,0.9,Avondale West,1.59227585,0.000206259,0.565228695
514900,0.8,Waterview,1.11842554,0.000183341,0.715291248
515001,2.15,Point Chevalier West,1.2556831,0.000492729,1.712215447
515002,10.7,Point Chevalier East,1.46032296,0.002452188,7.327146318
515003,0.6,Point Chevalier South,1.28569581,0.000137506,0.466673373
515100,4.75,Westmere,2.11216779,0.001088588,2.248874366
515201,0.2,Herne Bay,0.81995893,4.58E-05,0.243914656
515202,1.1,St Marys,0.94093754,0.000252094,1.169046779
515301,4.4,Ponsonby West,0.70715548,0.001008376,6.222111154
515302,13.7,Ponsonby East,0.71636013,0.003139717,19.12445909
515410,5.8,Grey Lynn West,0.83141231,0.001329223,6.976081458
515420,11.45,Grey Lynn East,0.78480526,0.00262407,14.5896066
515431,7.5,Surrey Crescent,1.22261687,0.001718823,6.134382883
515432,NA,St Lukes North,0.20062894,0,NA
515500,1.3,Arch Hill,0.4987699,0.000297929,2.606412296
515600,5.75,Eden Terrace,0.46808753,0.001317765,12.28402731
515700,2.7,Epsom North,1.37378191,0.000618776,1.965377459
515801,2.5,Epsom Central,1.10585421,0.000572941,2.260695829
515802,1.9,Epsom South,0.95136673,0.000435435,1.997126807
515901,1.55,Parnell East,0.88320539,0.000355224,1.754971174
515902,16.5,Parnell West,2.10836312,0.003781411,7.825976391
516001,3,Mt Hobson,0.90348143,0.000687529,3.320488834
516002,9.85,Remuera South,1.12141735,0.002257388,8.783527382
516003,6.15,Abbotts Park,1.8792085,0.001409435,3.272654418
516101,0.9,Remuera West,0.91477147,0.000206259,0.983852284
516102,3.25,Waitaramoa,1.56202446,0.000744823,2.080633232
516201,3.35,Orakei South,1.3547385,0.000767741,2.472801947
516202,2.2,Waiata,1.37117997,0.000504188,1.60445751
516301,2.8,Meadowbank North,2.26644901,0.000641694,1.235412748
516302,0.9,Meadowbank South,2.50207381,0.000206259,0.359701619
516400,2,Orakei North,3.03295759,0.000458353,0.659422343
516500,6.4,Mission Bay,2.13064556,0.001466729,3.003784449
516601,2.3,Kohimarama West,1.07423751,0.000527106,2.141053518
516602,3.65,Kohimarama East,1.30684444,0.000836494,2.792987358
516700,4.65,St Heliers,1.82229146,0.001065671,2.551732312
516800,4.8,Glendowie,2.04095233,0.001100047,2.351843269
516900,3.2,Glen Innes North,2.47985033,0.000733365,1.290400457
517001,16.1,Glen Innes West,1.80097661,0.003689741,8.939594168
517002,2.3,Glen Innes East,1.13323698,0.000527106,2.029584315
517100,1.7,Point England,1.49260636,0.0003896,1.138947311
517201,2.5,St Johns,0.90143622,0.000572941,2.773352063
517202,2.1,Stonefields,1.06200736,0.000481271,1.977387426
517400,40.8,Newmarket,0.7287156,0.009350399,55.98892078
517500,12,Kingsland,1.26030976,0.002750117,9.521468754
517600,1.7,St Lukes,1.17931321,0.0003896,1.441516966
517701,7.4,Sandringham North,0.81960954,0.001695906,9.028689442
517702,6.2,Sandringham West,1.05581804,0.001420894,5.872223968
517703,6.1,Sandringham East,0.71528839,0.001397976,8.528028814
